base,rates,date
USD,BGN:1.7367906935,2019-03-27
USD,NZD:1.4712725335,2019-03-27
USD,ILS:3.6338691058,2019-03-27
USD,RUB:64.7874966699,2019-03-27
USD,CAD:1.3409999112,2019-03-27
USD,USD:1.0,2019-03-27,2019-03-27
USD,PHP:52.7644081343,2019-03-27
USD,CHF:0.9942278661,2019-03-27
USD,AUD:1.4108871326,2019-03-27
USD,JPY:110.4875233105,2019-03-27
USD,TRY:5.5341443921,2019-03-27
USD,HKD:7.8491252997,2019-03-27
USD,MYR:4.0834739366,2019-03-27
USD,HRK:6.5935529704,2019-03-27
USD,CZK:22.9082674718,2019-03-27
USD,IDR:14239.9964479176,2019-03-27
USD,DKK:6.6303170234,2019-03-27
USD,NOK:8.6093597371,2019-03-27
USD,HUF:284.1399520469,2019-03-27
USD,GBP:0.7558653761,2019-03-27
USD,MXN:19.2603676405,2019-03-27
USD,THB:31.8302104609,2019-03-27
USD,ISK:121.7476245449,2019-03-27
USD,ZAR:14.5860047953,2019-03-27
USD,BRL:3.9244294468,2019-03-27
USD,SGD:1.3550306367,2019-03-27
USD,PLN:3.8128052571,2019-03-27
USD,INR:69.1412840778,2019-03-27
USD,KRW:1137.5543912619,2019-03-27
USD,RON:4.2293757215,2019-03-27
USD,CNY:6.7248912175,2019-03-27
USD,SEK:9.2618772756,2019-03-27
USD,EUR:0.8880206021,2019-03-27
